” won
Phoenix was
Joanna did
DM sent
Joanna is
AmericanAir ok
AmericanAir wow
dept be
Flight dealing
mentions are
problem were
Very cramped
scheme looks
ground crews
/ impressed
staff was
i appreciate
AmericanAir is
trips coming
thanks keep
service w
agent told
YeseniaHernandez provided
Just landed
flights have
yes called
Service is
Always enjoy
Always love
comms is
flight is
Mad love
work reFlight
staff is
A+ landing
